POŘADOVÉ_ČÍSLO;NÁZEV_SPOLEČNOSTI;CELKEM_V_KČ
200984;Big žirafa s.r.o.;1187211
200985;92019399;2453077
200986;92019399;881588
200987;Valza;2051650
200988;18581928;2384165
200989;Epic Internet a.s.;1845611
200990;18581928;238575
200991;92019399;2059871
200992;GreenStyles.;2345004
200993;18581928;2491487
200994;ZCZ;1944336
200995;GreenStyles.;2767490
200996;Valza;1949225
200997;Epic Internet a.s.;2952215
200998;Epic Internet a.s.;1282489
200999;ZCZ;726070
201000;GreenStyles.;942237
201001;18581928;1764415
201002;GreenStyles.;1262135
201003;Martin Nový;302968
201004;Epic Internet a.s.;1058752
201005;Valza;1744504
201006;Epic Internet a.s.;359276
201007;Valza;1012627
201008;BlueNet, s.r.o.;695278
201009;GreenStyles.;1787121
201010;GreenStyles.;1608276
201011;Big žirafa s.r.o.;227138
201012;Epic Internet a.s.;164353
201013;Epic Internet a.s.;2587183
201014;BlueNet, s.r.o.;1668551
201015;67821984;2217706
201016;Epic Internet a.s.;711204
201017;ZCZ;954789
201018;18581928;2987239
201019;92019399;2974965
201020;BlueNet, s.r.o.;2280170
201021;Big žirafa s.r.o.;2962940
201022;92019399;2051524
201023;Big žirafa s.r.o.;1245117
201024;18581928;2375372
201025;92019399;736597
201026;Epic Internet a.s.;1154824
201027;BlueNet, s.r.o.;1807499
201028;Epic Internet a.s.;2980669
201029;Martin Nový;2808216
201030;BlueNet, s.r.o.;2749306
201031;92019399;73112
201032;67821984;658484
201033;Martin Nový;248026
201034;Epic Internet a.s.;2405194
201035;Valza;1767916
201036;ZCZ;1538120
201037;Martin Nový;2269249
201038;Valza;832482
201039;67821984;2035606
201040;Martin Nový;1507372
201041;Valza;118588
201042;67821984;1070056
201043;ZCZ;181169
201044;GreenStyles.;284181
201045;Epic Internet a.s.;1071689
201046;Epic Internet a.s.;111300
201047;Big žirafa s.r.o.;2538248
201048;Valza;2628253
201049;Martin Nový;995272
201050;BlueNet, s.r.o.;905288
201051;Martin Nový;2817473
201052;92019399;2238797
201053;BlueNet, s.r.o.;566471
201054;GreenStyles.;1355094
201055;Valza;851795
201056;ZCZ;793594
201057;18581928;816414
201058;18581928;1953221
201059;Valza;567233
201060;GreenStyles.;445339
201061;92019399;1196019
201062;92019399;2714307
201063;GreenStyles.;1976462
201064;Valza;2486667
201065;Epic Internet a.s.;1861894
201066;Valza;1899154
201067;67821984;242392
201068;ZCZ;1255281
201069;Big žirafa s.r.o.;982377
201070;67821984;2460964
201071;92019399;1835266
201072;Big žirafa s.r.o.;1921278
201073;ZCZ;1787333
201074;ZCZ;1127684
201075;67821984;377984
201076;92019399;2069694
201077;ZCZ;2198200
201078;Martin Nový;1269898
201079;BlueNet, s.r.o.;313015
201080;Martin Nový;1374782
201081;ZCZ;2830082
201082;ZCZ;1770604
201083;Big žirafa s.r.o.;1154688
201084;18581928;2796916
201085;18581928;1759989
201086;Big žirafa s.r.o.;1788729
201087;18581928;2907330
201088;18581928;1181464
201089;GreenStyles.;2059667
201090;Big žirafa s.r.o.;2768600
201091;BlueNet, s.r.o.;45395
201092;GreenStyles.;383851
201093;Big žirafa s.r.o.;1657373
201094;Valza;1499938
201095;BlueNet, s.r.o.;447478
201096;ZCZ;1713958
201097;92019399;1566108
201098;92019399;454541
201099;92019399;2439292
201100;Martin Nový;674365
201101;Martin Nový;1032195
201102;Big žirafa s.r.o.;248323
201103;Big žirafa s.r.o.;1185264
201104;Martin Nový;1905717
201105;Martin Nový;2158209
201106;GreenStyles.;2062325
201107;ZCZ;711019
201108;Epic Internet a.s.;1523498
201109;GreenStyles.;2355378
201110;Big žirafa s.r.o.;1655528
201111;Big žirafa s.r.o.;1677441
201112;18581928;2802113
201113;Martin Nový;1702913
201114;Martin Nový;1437918
201115;BlueNet, s.r.o.;144952
201116;Big žirafa s.r.o.;2100815
201117;Valza;203178
201118;GreenStyles.;1840101
201119;GreenStyles.;615459
201120;Epic Internet a.s.;160645
201121;BlueNet, s.r.o.;2016937
201122;18581928;2228443
201123;BlueNet, s.r.o.;475291
201124;GreenStyles.;2760994
201125;92019399;2301064
201126;ZCZ;79561
201127;Valza;1447254
201128;Valza;596410
201129;Big žirafa s.r.o.;979373
201130;67821984;593886
201131;92019399;1266484
201132;92019399;94571
201133;BlueNet, s.r.o.;584018
201134;GreenStyles.;1815037
201135;Valza;114243
201136;Martin Nový;1348272
201137;GreenStyles.;1325422
201138;Big žirafa s.r.o.;138492
201139;ZCZ;561752
201140;18581928;781207
201141;Big žirafa s.r.o.;2146512
201142;Valza;2294999
201143;Big žirafa s.r.o.;900613
201144;ZCZ;577338
201145;Valza;280021
201146;BlueNet, s.r.o.;796311
201147;ZCZ;1677032
201148;Epic Internet a.s.;1389517
201149;ZCZ;1296653
201150;18581928;1372409
201151;Martin Nový;1318821
201152;BlueNet, s.r.o.;1292287
201153;Martin Nový;2532737
201154;92019399;2356021
201155;Epic Internet a.s.;381917
201156;67821984;1281496
201157;Epic Internet a.s.;2838962
201158;GreenStyles.;2693354
201159;18581928;1141659
201160;92019399;2574202
201161;Epic Internet a.s.;2814237
201162;Martin Nový;2593618
201163;18581928;1403506
201164;Martin Nový;1182803
201165;Epic Internet a.s.;471765
201166;Big žirafa s.r.o.;537311
201167;Big žirafa s.r.o.;2307508
201168;Valza;1625743
201169;18581928;1328024
201170;Valza;117955
201171;Valza;1024417
201172;GreenStyles.;2697781
201173;Valza;1724470
201174;Martin Nový;24812
201175;Valza;2995298
201176;GreenStyles.;2917937
201177;Big žirafa s.r.o.;2482282
201178;Epic Internet a.s.;273041
201179;ZCZ;59139
201180;Epic Internet a.s.;2054317
201181;Martin Nový;1810701
201182;Valza;2926645
201183;Valza;1260527
201184;67821984;1348237
201185;Martin Nový;2517947
201186;BlueNet, s.r.o.;2275308
201187;92019399;2094607
201188;BlueNet, s.r.o.;1860707
201189;92019399;69484
201190;Valza;191711
201191;ZCZ;1092642
201192;Martin Nový;1563847
201193;Big žirafa s.r.o.;557311
201194;BlueNet, s.r.o.;2856725
201195;Martin Nový;1166495
201196;Big žirafa s.r.o.;249102
201197;Big žirafa s.r.o.;2250930
201198;GreenStyles.;372249
201199;ZCZ;294754
201200;67821984;2490813
201201;GreenStyles.;1098327
201202;Martin Nový;454295
201203;Big žirafa s.r.o.;1392241
201204;18581928;783434
201205;67821984;2393322
201206;92019399;406610
201207;Valza;667060
201208;18581928;2418341
201209;67821984;41181
201210;GreenStyles.;425651
201211;Epic Internet a.s.;2540084
201212;Epic Internet a.s.;2215954
201213;Epic Internet a.s.;455023
201214;BlueNet, s.r.o.;2535836
201215;ZCZ;1142106
201216;92019399;1956553
201217;18581928;2346150
201218;Epic Internet a.s.;2152295
201219;92019399;874710
201220;ZCZ;1537407
201221;67821984;2215864
201222;Big žirafa s.r.o.;1161103
201223;18581928;112529
201224;18581928;1102766
201225;92019399;1874052
201226;Epic Internet a.s.;2872022
201227;ZCZ;530697
201228;67821984;43532
201229;Epic Internet a.s.;1821736
201230;92019399;2665757
201231;92019399;1225442
201232;67821984;1255784
201233;Big žirafa s.r.o.;1607393
201234;67821984;439575
201235;Martin Nový;192146
201236;BlueNet, s.r.o.;2732910
201237;Valza;594229
201238;ZCZ;2571180
201239;Valza;899786
201240;GreenStyles.;633748
201241;BlueNet, s.r.o.;1572348
201242;92019399;1224901
201243;18581928;413241
201244;Valza;1040497
201245;Big žirafa s.r.o.;2577234
201246;67821984;581322
201247;67821984;1524232
201248;BlueNet, s.r.o.;621834
201249;GreenStyles.;2353617
201250;GreenStyles.;186078
201251;Epic Internet a.s.;789116
201252;ZCZ;765533
201253;67821984;828957
201254;Epic Internet a.s.;2266043
201255;ZCZ;310313
201256;GreenStyles.;852462
201257;Big žirafa s.r.o.;2911022
201258;92019399;1164844
201259;92019399;942276
201260;Epic Internet a.s.;822431
201261;Epic Internet a.s.;252476
201262;67821984;1595106
201263;BlueNet, s.r.o.;1491068
201264;67821984;2927972
201265;92019399;767738
201266;BlueNet, s.r.o.;1172637
201267;Martin Nový;1332373
201268;BlueNet, s.r.o.;2004485
201269;Big žirafa s.r.o.;1910230
201270;92019399;2090880
201271;GreenStyles.;595667
201272;GreenStyles.;1880249
201273;BlueNet, s.r.o.;1219268
201274;Martin Nový;358040
201275;ZCZ;2703321
201276;ZCZ;2610958
201277;Valza;2853253
201278;67821984;1015425
201279;GreenStyles.;1573820
201280;Big žirafa s.r.o.;923358
201281;Big žirafa s.r.o.;525791
201282;18581928;2667988
201283;Epic Internet a.s.;1590177
201284;Epic Internet a.s.;1560683
201285;Epic Internet a.s.;1401273
201286;Big žirafa s.r.o.;1352789
201287;ZCZ;1124497
201288;Valza;792620
201289;18581928;1967432
201290;Epic Internet a.s.;1665737
201291;GreenStyles.;2278268
201292;18581928;492964
201293;GreenStyles.;69161
201294;Valza;1826363
201295;ZCZ;68293
201296;BlueNet, s.r.o.;2284636
201297;18581928;1669508
201298;ZCZ;2729061
201299;Big žirafa s.r.o.;1816546
201300;Big žirafa s.r.o.;1718634
201301;Martin Nový;316470
201302;92019399;2548119
201303;67821984;1538578
201304;Big žirafa s.r.o.;1631120
201305;18581928;2398906
201306;BlueNet, s.r.o.;1830217
201307;18581928;2208142
201308;GreenStyles.;259795
201309;GreenStyles.;861308
201310;18581928;2070685
201311;GreenStyles.;388774
201312;GreenStyles.;2803471
201313;GreenStyles.;2359058
201314;18581928;2338431
201315;Big žirafa s.r.o.;1426144
201316;92019399;1250202
201317;92019399;1684607
201318;GreenStyles.;383340
201319;ZCZ;1076641
201320;18581928;186461
201321;Big žirafa s.r.o.;694740
201322;Valza;2935077
201323;Epic Internet a.s.;718896
201324;Big žirafa s.r.o.;1225119
201325;BlueNet, s.r.o.;412161
201326;Epic Internet a.s.;1855913
201327;Martin Nový;2686095
201328;BlueNet, s.r.o.;43534
201329;BlueNet, s.r.o.;2318258
201330;18581928;2868168
201331;Martin Nový;1914196
201332;67821984;2204329
201333;67821984;1126412
201334;Epic Internet a.s.;1256230
201335;Valza;1562016
201336;Epic Internet a.s.;-11851
201337;Big žirafa s.r.o.;2483852
201338;Valza;2521575
201339;ZCZ;2833313
201340;18581928;130773
201341;ZCZ;2136295
201342;ZCZ;2084451
201343;Epic Internet a.s.;2906677
201344;GreenStyles.;1536513
201345;18581928;427110
201346;Big žirafa s.r.o.;2652225
201347;67821984;1041349
201348;18581928;626491
201349;Epic Internet a.s.;1024456
201350;Valza;2715007
201351;Big žirafa s.r.o.;914667
201352;Martin Nový;235238
201353;ZCZ;2187693
201354;67821984;1436594
201355;67821984;1624954
201356;ZCZ;2140364
201357;Big žirafa s.r.o.;960642
201358;Martin Nový;1292604
201359;67821984;1256056
201360;GreenStyles.;47869
201361;Big žirafa s.r.o.;1416667
201362;92019399;1350298
201363;92019399;1029862
201364;67821984;335603
201365;18581928;1747780
201366;Epic Internet a.s.;2175738
201367;Martin Nový;535817
201368;18581928;2667277
201369;18581928;2173802
201370;BlueNet, s.r.o.;2542496
201371;67821984;1138930
201372;ZCZ;406373
201373;GreenStyles.;1385686
201374;BlueNet, s.r.o.;2469590
201375;ZCZ;1150872
201376;BlueNet, s.r.o.;1346053
201377;Epic Internet a.s.;1817088
201378;Valza;527487
201379;18581928;1333803
201380;92019399;117996
201381;Big žirafa s.r.o.;2718383
201382;92019399;1764674
201383;92019399;2239131
201384;Valza;286547
201385;Valza;1852516
201386;18581928;2872230
201387;67821984;1364172
201388;Martin Nový;1238691
201389;Big žirafa s.r.o.;2929142
201390;67821984;1684192
201391;Martin Nový;166156
201392;Big žirafa s.r.o.;2605025
201393;Martin Nový;1946983
201394;Epic Internet a.s.;1583428
201395;Martin Nový;2169100
201396;Epic Internet a.s.;962813
201397;Epic Internet a.s.;565145
201398;BlueNet, s.r.o.;1360098
201399;Big žirafa s.r.o.;1420576
201400;18581928;1854314
201401;18581928;1633592
201402;Martin Nový;2952452
201403;ZCZ;2535995
201404;Martin Nový;651020
201405;Martin Nový;1436543
201406;Martin Nový;2995373
201407;Valza;124200
201408;92019399;1332162
201409;18581928;398152
201410;GreenStyles.;1453467
201411;ZCZ;885245
201412;92019399;2815560
201413;18581928;127257
201414;Martin Nový;1812570
201415;ZCZ;2697404
201416;BlueNet, s.r.o.;1957066
201417;Epic Internet a.s.;1364473
201418;ZCZ;182628
201419;Martin Nový;2480296
201420;Big žirafa s.r.o.;870804
201421;GreenStyles.;2170078
201422;67821984;1897229
201423;BlueNet, s.r.o.;2646223
201424;Epic Internet a.s.;2879567
201425;Epic Internet a.s.;2324029
201426;BlueNet, s.r.o.;472692
201427;BlueNet, s.r.o.;1194946
201428;Epic Internet a.s.;854513
201429;92019399;314351
201430;67821984;1701668
201431;Big žirafa s.r.o.;1280959
201432;BlueNet, s.r.o.;2142250
201433;ZCZ;1931546
201434;67821984;2588961
201435;67821984;578263
201436;67821984;1137373
201437;Epic Internet a.s.;2043038
201438;BlueNet, s.r.o.;1323765
201439;67821984;1892141
201440;Big žirafa s.r.o.;1584428
201441;92019399;717653
201442;18581928;1203288
201443;GreenStyles.;1881536
201444;Big žirafa s.r.o.;2684551
201445;Valza;1791840
201446;Big žirafa s.r.o.;2655492
201447;18581928;2015457
201448;Epic Internet a.s.;1698563
201449;92019399;2018157
201450;Valza;881065
201451;Epic Internet a.s.;2267763
201452;Martin Nový;1470081
201453;Epic Internet a.s.;2837068
201454;18581928;2372435
201455;Martin Nový;331788
201456;18581928;1400506
201457;Big žirafa s.r.o.;2405927
201458;18581928;1050917
201459;GreenStyles.;1817127
201460;GreenStyles.;870196
201461;ZCZ;1621009
201462;Martin Nový;682522
201463;ZCZ;1982334
201464;Big žirafa s.r.o.;104891
201465;Martin Nový;2864523
201466;Valza;1165506
201467;18581928;2620303
201468;GreenStyles.;1831417
201469;92019399;2704449
201470;Big žirafa s.r.o.;688541
201471;Martin Nový;2990045
201472;Martin Nový;953756
201473;Valza;355682
201474;Martin Nový;713134
201475;18581928;2755371
201476;BlueNet, s.r.o.;920682
201477;Valza;2685107
201478;18581928;924156
201479;92019399;1308625
201480;ZCZ;1332249
201481;Martin Nový;2915027
201482;GreenStyles.;2564429
201483;BlueNet, s.r.o.;1958689
201484;Valza;1190533
201485;18581928;544741
201486;Epic Internet a.s.;1127563
201487;92019399;2529019
201488;Martin Nový;2364962
201489;Epic Internet a.s.;467418
201490;Epic Internet a.s.;5405
201491;BlueNet, s.r.o.;2938595
201492;BlueNet, s.r.o.;332800
201493;Martin Nový;2109294
201494;BlueNet, s.r.o.;2292328
201495;Valza;2267719
201496;Valza;1222632
201497;92019399;1451742
201498;67821984;2971180
201499;67821984;1679947
201500;92019399;1883546
201501;18581928;840457
201502;Valza;1816389
201503;GreenStyles.;728420
201504;Valza;2685880
201505;18581928;1912749
201506;67821984;1155905
201507;Big žirafa s.r.o.;2344219
201508;67821984;1723085
201509;Epic Internet a.s.;1761411
201510;ZCZ;2715013
201511;92019399;564221
201512;67821984;1989088
201513;Epic Internet a.s.;2356015
201514;GreenStyles.;1807008
201515;67821984;2337994
201516;Epic Internet a.s.;1668492
201517;Valza;1550626
201518;18581928;1270218
201519;Big žirafa s.r.o.;456400
201520;18581928;2207021
201521;Big žirafa s.r.o.;203048
201522;92019399;2320955
201523;GreenStyles.;2796475
201524;18581928;1916902
201525;GreenStyles.;1351191
201526;67821984;-7031
201527;67821984;1473557
201528;Valza;1456663
201529;67821984;648933
201530;GreenStyles.;1571339
201531;67821984;958250
201532;67821984;949979
201533;Big žirafa s.r.o.;1718472
201534;BlueNet, s.r.o.;2095280
201535;BlueNet, s.r.o.;2458819
201536;67821984;1705110
201537;ZCZ;2103378
201538;18581928;1227789
201539;Martin Nový;1582764
201540;92019399;1003317
201541;Martin Nový;1549806
201542;92019399;930370
201543;18581928;1495934
201544;BlueNet, s.r.o.;2576023
201545;Epic Internet a.s.;854468
201546;GreenStyles.;459790
201547;ZCZ;2543782
201548;18581928;2768113
201549;18581928;2773545
201550;Epic Internet a.s.;1793318
201551;92019399;2709799
201552;18581928;2241371
201553;Epic Internet a.s.;142697
201554;Martin Nový;1062564
201555;Epic Internet a.s.;27394
201556;Big žirafa s.r.o.;22616
201557;Epic Internet a.s.;488097
201558;92019399;1608450
201559;92019399;2949633
201560;Big žirafa s.r.o.;910470
201561;18581928;1628176
201562;67821984;1441257
201563;Big žirafa s.r.o.;616713
201564;Epic Internet a.s.;2897533
201565;ZCZ;2135833
201566;GreenStyles.;1556016
201567;67821984;1362025
201568;18581928;752044
201569;Epic Internet a.s.;1732068
201570;ZCZ;1705413
201571;Valza;1618155
201572;67821984;2750227
201573;67821984;1611053
201574;Epic Internet a.s.;414584
201575;GreenStyles.;1110202
201576;67821984;858437
201577;Martin Nový;2609475
201578;GreenStyles.;488745
201579;Big žirafa s.r.o.;2224131
201580;BlueNet, s.r.o.;114188
201581;67821984;1731821
201582;Big žirafa s.r.o.;1089017
201583;ZCZ;1881984
201584;Valza;1896914
201585;Martin Nový;2185863
201586;BlueNet, s.r.o.;2188637
201587;ZCZ;1545718
201588;BlueNet, s.r.o.;241537
201589;Valza;1400475
201590;67821984;2486076
201591;GreenStyles.;1278237
201592;Big žirafa s.r.o.;411233
201593;Valza;2230199
201594;GreenStyles.;989194
201595;92019399;1511285
201596;BlueNet, s.r.o.;2167191
201597;GreenStyles.;905592
201598;67821984;2527427
201599;67821984;2577460
201600;BlueNet, s.r.o.;1622333
201601;Big žirafa s.r.o.;2930782
201602;Valza;-7309
201603;ZCZ;1012494
201604;92019399;1877880
201605;Big žirafa s.r.o.;2875140
201606;18581928;931171
201607;Martin Nový;139598
201608;BlueNet, s.r.o.;2960199
201609;ZCZ;1805545
201610;Valza;1329958
201611;ZCZ;1375688
201612;92019399;2137157
201613;92019399;283410
201614;Big žirafa s.r.o.;1578183
201615;Epic Internet a.s.;1990531
201616;92019399;1397779
201617;18581928;2160477
201618;Valza;2903052
201619;67821984;629876
201620;Epic Internet a.s.;2480658
201621;Big žirafa s.r.o.;2253798
201622;Epic Internet a.s.;26246
201623;ZCZ;119420
201624;Big žirafa s.r.o.;2748970
201625;BlueNet, s.r.o.;926175
201626;18581928;2844487
201627;Epic Internet a.s.;1340998
201628;67821984;1135234
201629;Valza;720124
201630;Epic Internet a.s.;924578
201631;Big žirafa s.r.o.;1926994
201632;Big žirafa s.r.o.;1964330
201633;GreenStyles.;888783
201634;BlueNet, s.r.o.;521095
201635;ZCZ;1253008
201636;GreenStyles.;1850262
201637;67821984;2162948
201638;Martin Nový;2274006
201639;GreenStyles.;2490424
201640;18581928;920426
201641;Big žirafa s.r.o.;1007514
201642;BlueNet, s.r.o.;1129308
201643;ZCZ;1235531
201644;Epic Internet a.s.;2956680
201645;GreenStyles.;2611022
201646;Epic Internet a.s.;144016
201647;BlueNet, s.r.o.;2545441
201648;Epic Internet a.s.;800497
201649;Big žirafa s.r.o.;1493877
201650;67821984;152720
201651;BlueNet, s.r.o.;675774
201652;18581928;1481793
201653;Martin Nový;1054985
201654;92019399;1735578
201655;ZCZ;1075318
201656;Big žirafa s.r.o.;2093814
201657;92019399;140716
201658;Big žirafa s.r.o.;2394977
201659;18581928;928655
201660;BlueNet, s.r.o.;767968
201661;BlueNet, s.r.o.;340280
201662;GreenStyles.;2626254
201663;67821984;2734680
201664;Epic Internet a.s.;1935455
201665;BlueNet, s.r.o.;1617553
201666;Big žirafa s.r.o.;591760
201667;18581928;2966021
201668;Epic Internet a.s.;903368
201669;Martin Nový;1917103
201670;Martin Nový;1878858
201671;ZCZ;920309
201672;Valza;2026943
201673;BlueNet, s.r.o.;465357
201674;67821984;1446430
201675;Epic Internet a.s.;104527
201676;BlueNet, s.r.o.;2682383
201677;18581928;2771554
201678;GreenStyles.;561552
201679;Valza;2485314
201680;GreenStyles.;2825393
201681;Valza;562356
201682;92019399;2187942
201683;67821984;2456444
201684;Big žirafa s.r.o.;1440908
201685;92019399;2049676
201686;Big žirafa s.r.o.;1387435
201687;BlueNet, s.r.o.;591017
201688;92019399;2539181
201689;Valza;1835338
201690;ZCZ;2620590
201691;Big žirafa s.r.o.;1609689
201692;ZCZ;1331411
201693;Valza;2459436
201694;Martin Nový;579929
201695;18581928;301429
201696;92019399;2487430
201697;Valza;2383270
201698;Big žirafa s.r.o.;1915327
201699;92019399;2846285
201700;BlueNet, s.r.o.;1999424
201701;Valza;1151517
201702;ZCZ;943748
201703;67821984;2649585
201704;Big žirafa s.r.o.;2279637
201705;18581928;149071
201706;ZCZ;2213396
201707;67821984;2282077
201708;ZCZ;2498814
201709;GreenStyles.;1624012
201710;Valza;750850
201711;Big žirafa s.r.o.;2432256
201712;GreenStyles.;1765545
201713;Big žirafa s.r.o.;404589
201714;18581928;52162
201715;Epic Internet a.s.;264107
201716;Valza;2670262
201717;Big žirafa s.r.o.;165834
201718;Valza;2456242
201719;92019399;275902
201720;67821984;21718
201721;18581928;127292
201722;Martin Nový;1472473
201723;Epic Internet a.s.;1523487
201724;67821984;1215324
201725;Valza;765789
201726;Valza;363934
201727;Epic Internet a.s.;2630262
201728;Epic Internet a.s.;2718454
201729;GreenStyles.;2753928
201730;Martin Nový;795139
201731;18581928;2135659
201732;GreenStyles.;1212992
201733;18581928;2257015
201734;Valza;10822
201735;Valza;963244
201736;92019399;1204037
201737;67821984;2227283
201738;Big žirafa s.r.o.;2609099
201739;ZCZ;368641
201740;18581928;660061
201741;Epic Internet a.s.;2190767
201742;Epic Internet a.s.;1841896
201743;Epic Internet a.s.;2792705
201744;ZCZ;2024429
201745;67821984;1000404
201746;ZCZ;1385930
201747;Valza;1206902
201748;92019399;482626
201749;Martin Nový;559367
201750;Big žirafa s.r.o.;216645
201751;18581928;306706
201752;67821984;2591386
201753;92019399;329661
201754;ZCZ;2467628
201755;Big žirafa s.r.o.;647482
201756;Valza;2491531
201757;ZCZ;2138041
201758;GreenStyles.;369183
201759;Epic Internet a.s.;1382663
201760;BlueNet, s.r.o.;2851766
201761;ZCZ;735307
201762;Epic Internet a.s.;1268723
201763;18581928;177520
201764;92019399;2389464
201765;Martin Nový;574631
201766;ZCZ;469084
201767;92019399;285141
201768;18581928;382932
201769;Valza;2846164
201770;GreenStyles.;2369252
201771;67821984;307331
201772;Epic Internet a.s.;1107305
201773;GreenStyles.;2045187
201774;BlueNet, s.r.o.;2527658
201775;67821984;2361860
201776;18581928;442402
201777;Valza;126393
201778;67821984;225709
201779;Big žirafa s.r.o.;2587491
201780;67821984;74186
201781;Martin Nový;2591000
201782;ZCZ;610965
201783;Valza;2012979
201784;18581928;662437
201785;BlueNet, s.r.o.;685548
201786;Valza;2288970
201787;BlueNet, s.r.o.;211858
201788;Big žirafa s.r.o.;1619204
201789;Big žirafa s.r.o.;897620
201790;18581928;513104
201791;18581928;2077374
201792;92019399;2443006
201793;BlueNet, s.r.o.;1504750
201794;Martin Nový;236183
201795;ZCZ;2234084
201796;GreenStyles.;1393863
201797;18581928;2650137
201798;18581928;1271981
201799;Martin Nový;2451502
201800;GreenStyles.;2825067
201801;GreenStyles.;2910608
201802;ZCZ;855310
201803;BlueNet, s.r.o.;2913
201804;Martin Nový;574881
201805;GreenStyles.;1374598
201806;BlueNet, s.r.o.;2605433
201807;GreenStyles.;1085751
201808;Epic Internet a.s.;2701887
201809;18581928;1717825
201810;67821984;438512
201811;GreenStyles.;1635652
201812;ZCZ;808087
201813;Martin Nový;2581141
201814;GreenStyles.;1853527
201815;92019399;2250155
201816;Epic Internet a.s.;283632
201817;Martin Nový;2631962
201818;GreenStyles.;1577748
201819;67821984;2213096
201820;67821984;910424
201821;ZCZ;1468611
201822;ZCZ;678394
201823;BlueNet, s.r.o.;1540591
201824;Big žirafa s.r.o.;784234
201825;Big žirafa s.r.o.;1059831
201826;Big žirafa s.r.o.;1121918
201827;Big žirafa s.r.o.;657589
201828;ZCZ;706063
201829;BlueNet, s.r.o.;2505687
201830;18581928;2677436
201831;Big žirafa s.r.o.;36319
201832;GreenStyles.;1004641
201833;BlueNet, s.r.o.;2556026
201834;ZCZ;522567
201835;ZCZ;1310988
201836;92019399;2310807
201837;Epic Internet a.s.;1252036
201838;18581928;2320453
201839;Martin Nový;2232787
201840;Valza;2845333
201841;GreenStyles.;1826674
201842;Big žirafa s.r.o.;2469453
201843;Big žirafa s.r.o.;1446651
201844;Martin Nový;2321993
201845;67821984;2373508
201846;Big žirafa s.r.o.;1922436
201847;Valza;2620058
201848;Epic Internet a.s.;481416
201849;92019399;650525
201850;ZCZ;161000
201851;18581928;1302490
201852;67821984;2608
201853;Epic Internet a.s.;1729942
201854;ZCZ;2385319
201855;67821984;308837
201856;18581928;1379781
201857;Martin Nový;103871
201858;92019399;2974525
201859;92019399;1549556
201860;Valza;851282
201861;Martin Nový;1623580
201862;GreenStyles.;2865096
201863;ZCZ;1697831
201864;GreenStyles.;1372281
201865;ZCZ;1658705
201866;67821984;216563
201867;18581928;2682373
201868;Big žirafa s.r.o.;1555131
201869;ZCZ;1204112
201870;Epic Internet a.s.;1661940
201871;Epic Internet a.s.;2986725
201872;Valza;5605
201873;GreenStyles.;2309610
201874;Martin Nový;2085956
201875;Big žirafa s.r.o.;1272952
201876;GreenStyles.;1679703
201877;GreenStyles.;2674640
201878;GreenStyles.;2317617
201879;Big žirafa s.r.o.;2128743
201880;Martin Nový;732994
201881;92019399;1092952
201882;Epic Internet a.s.;94674
201883;Epic Internet a.s.;276812
201884;GreenStyles.;1218623
201885;Martin Nový;2280456
201886;Valza;1340881
201887;92019399;2732549
201888;67821984;2201959
201889;Epic Internet a.s.;2019568
201890;ZCZ;1010758
201891;67821984;2872248
201892;Martin Nový;2662387
201893;Martin Nový;1358630
201894;GreenStyles.;1518867
201895;92019399;46318
201896;BlueNet, s.r.o.;2066556
201897;Big žirafa s.r.o.;2130221
201898;Martin Nový;1665593
201899;Martin Nový;2067054
201900;18581928;953207
201901;ZCZ;1630707
201902;GreenStyles.;216608
201903;Martin Nový;876371
201904;18581928;1188804
201905;92019399;953656
201906;Epic Internet a.s.;1603571
201907;Big žirafa s.r.o.;14726
201908;GreenStyles.;465517
201909;Valza;923097
201910;Big žirafa s.r.o.;2927049
201911;Martin Nový;70590
201912;Big žirafa s.r.o.;1407480
201913;BlueNet, s.r.o.;2544294
201914;67821984;346655
201915;Valza;1256221
201916;18581928;1467065
201917;Big žirafa s.r.o.;1695318
201918;18581928;1718063
201919;92019399;828956
201920;67821984;2688298
201921;Valza;2763179
201922;Big žirafa s.r.o.;2572508
201923;Martin Nový;1786862
201924;18581928;202789
201925;Epic Internet a.s.;1968031
201926;Martin Nový;421530
201927;92019399;2060363
201928;92019399;1725092
201929;Valza;2877511
201930;18581928;2756958
201931;67821984;1289983
201932;92019399;1611357
201933;Epic Internet a.s.;1840942
201934;Epic Internet a.s.;864819
201935;92019399;2830408
201936;18581928;2166505
201937;BlueNet, s.r.o.;2628796
201938;67821984;1154243
201939;18581928;1543902
201940;92019399;1158483
201941;Valza;2879804
201942;92019399;174940
201943;Big žirafa s.r.o.;580267
201944;67821984;2355136
201945;ZCZ;303716
201946;Valza;2330594
201947;18581928;1715430
201948;Martin Nový;1446724
201949;18581928;2043115
201950;18581928;533889
201951;Valza;1864682
201952;BlueNet, s.r.o.;2926244
201953;92019399;273699
201954;Valza;478513
201955;67821984;2409429
201956;ZCZ;968122
201957;BlueNet, s.r.o.;890351
201958;ZCZ;625675
201959;Valza;972431
201960;GreenStyles.;724056
201961;Big žirafa s.r.o.;2292864
201962;Epic Internet a.s.;483247
201963;BlueNet, s.r.o.;912932
201964;92019399;2624323
201965;92019399;2379670
201966;67821984;2393388
201967;Big žirafa s.r.o.;1267465
201968;Epic Internet a.s.;2246272
201969;Big žirafa s.r.o.;1577826
201970;92019399;611568
